Vendor,Year,Color,Revenue,Share,Share
HP,2006,HP,19.42,31.96,31.96
EMC,2006,EMC,16.02,26.36,26.36
IBM,2006,IBM,8.59,14.13,14.13
Hitachi,2006,Hitachi,5.75,9.46,9.46
Sun,2006,Sun,3.96,6.52,6.52
NetApp,2006,NetApp,3.33,5.47,5.47
Dell,2006,Dell,2.44,4.01,4.01
Fujitsu Siemens,2006,Fujitsu Siemens,0.66,1.09,1.09
HP,2007,HP,27.87,35.32,35.32
EMC,2007,EMC,19.41,24.59,24.59
IBM,2007,IBM,10.15,12.86,12.86
Dell,2007,Dell,5.84,7.4,7.4
Sun,2007,Sun,5.51,6.98,6.98
NetApp,2007,NetApp,3.82,4.84,4.84
Hitachi,2007,Hitachi,3.27,4.14,4.14
Fujitsu Siemens,2007,Fujitsu Siemens,2.21,2.8,2.8
HP,2008,HP,33.95,33.8,33.8
EMC,2008,EMC,32.06,31.92,31.92
IBM,2008,IBM,14.25,14.19,14.19
Dell,2008,Dell,6.29,6.26,6.26
NetApp,2008,NetApp,5.02,5,5
Sun,2008,Sun,4.54,4.52,4.52
Hitachi,2008,Hitachi,2.43,2.42,2.42
Fujitsu Siemens,2008,Fujitsu Siemens,1.21,1.2,1.2
EMC,2009,EMC,27.78,35.86,35.86
HP,2009,HP,27.52,35.53,35.53
IBM,2009,IBM,9.66,12.47,12.47
Dell,2009,Dell,4.4,5.68,5.68
NetApp,2009,NetApp,3.17,4.09,4.09
Sun,2009,Sun,2.68,3.46,3.46
Hitachi,2009,Hitachi,0.92,1.18,1.18
Fujitsu,2009,Fujitsu,0.57,0.73,0.73
Fujitsu Siemens,2009,Fujitsu Siemens,0.22,0.29,0.29
HP,2010,HP,32.67,33.38,33.38
EMC,2010,EMC,27.78,28.39,28.39
IBM,2010,IBM,12.58,12.85,12.85
Huawei-Symantec,2010,Huawei-Symantec,12.21,12.47,12.47
Dell,2010,Dell,5.47,5.59,5.59
NetApp,2010,NetApp,2.14,2.19,2.19
Hitachi,2010,Hitachi,1.69,1.73,1.73
Fujitsu,2010,Fujitsu,0.99,1.01,1.01
Sun,2010,Sun,0.97,0.99,0.99
Oracle,2010,Oracle,0.91,0.93,0.93
Fujitsu Siemens,2010,Fujitsu Siemens,,0,0
EMC,2011,EMC,41.36,36.78,36.78
HP,2011,HP,30.74,27.34,27.34
IBM,2011,IBM,16.56,14.73,14.73
Huawei-Symantec,2011,Huawei-Symantec,9.57,8.51,8.51
NetApp,2011,NetApp,4.03,3.58,3.58
Dell,2011,Dell,3.72,3.31,3.31
Hitachi,2011,Hitachi,2.76,2.45,2.45
Oracle,2011,Oracle,1.92,1.71,1.71
Fujitsu,2011,Fujitsu,0.88,0.78,0.78
DataDirect Networks,2011,DataDirect Networks,0.69,0.61,0.61
Sun,2011,Sun,,0,0
EMC,2012,EMC,40.14,36.22,36.22
HP,2012,HP,20,18.05,18.05
IBM,2012,IBM,18.42,16.62,16.62
Huawei,2012,Huawei,7.05,6.37,6.37
NetApp,2012,NetApp,6.65,6,6
DataDirect Networks,2012,DataDirect Networks,6.57,5.93,5.93
Fujitsu,2012,Fujitsu,4.32,3.9,3.9
Dell,2012,Dell,4.07,3.67,3.67
Oracle,2012,Oracle,3.16,2.85,2.85
Hitachi,2012,Hitachi,0.14,0.13,0.13
Huawei-Symantec,2012,Huawei-Symantec,,0,0
